x0000,y0000
298500.,-0.475904
298501.0020040080,-0.54912
298502.004008016,-0.402688
298503.0060120241,-0.494208
298504.0080160321,-0.567424
298505.0100200401,-0.805376
298506.0120240481,-0.494208
298507.0140280561,-0.384384
298508.0160320641,-0.420992
298509.0180360721,-0.420992
298510.0200400802,-0.494208
298511.0220440882,-0.420992
298512.0240480962,-0.54912
298513.0260521042,-0.36608
298514.0280561122,-0.36608
298515.0300601202,-0.36608
298516.0320641283,-0.420992
298517.0340681363,-0.585728
298518.0360721443,-0.530816
298519.0380761523,-0.402688
298520.0400801603,-0.604032
298521.0420841684,-0.677248
298522.0440881763,-0.933504
298523.0460921844,-0.933504
298524.0480961924,-0.933504
298525.0501002004,-0.933504
298526.0521042084,-0.750464
298527.0541082164,-0.695552
298528.0561122245,-0.695552
298529.0581162325,-0.695552
298530.0601202405,-0.841984
298531.0621242485,-0.860288
298532.0641282565,-0.933504
298533.0661322645,-0.805376
298534.0681362725,-0.73216
298535.0701402806,-0.82368
298536.0721442886,-1.025024
298537.0741482966,-0.841984
298538.0761523046,-0.841984
298539.0781563126,-0.841984
298540.0801603206,-0.750464
298541.0821643287,-0.896896
298542.0841683366,-0.622336
298543.0861723447,-0.787072
298544.0881763527,-0.933504
298545.0901803607,-0.896896
298546.0921843688,-0.658944
298547.0941883767,-0.658944
298548.0961923848,-0.658944
298549.0981963928,-0.658944
298550.1002004008,-0.658944
298551.1022044088,-0.658944
298552.1042084168,-0.73216
298553.1062124249,-0.9152
298554.1082164329,-0.768768
298555.1102204409,-0.878592
298556.1122244489,-0.73216
298557.1142284569,-0.73216
298558.1162324649,-0.73216
298559.1182364729,-0.805376
298560.120240481,-0.695552
298561.122244489,-0.878592
298562.124248497,-0.9152
298563.126252505,-0.970112
298564.1282565130,-0.970112
298565.130260521,-0.970112
298566.1322645291,-0.970112
298567.1342685370,-0.768768
298568.1362725451,-0.860288
298569.1382765531,-0.787072
298570.1402805611,-0.787072
298571.1422845692,-0.82368
298572.1442885771,-1.025024
298573.1462925852,-1.025024
298574.1482965932,-0.841984
298575.1503006012,-0.677248
298576.1523046092,-0.805376
298577.1543086172,-0.841984
298578.1563126253,-0.768768
298579.1583166333,-0.768768
298580.1603206413,-0.73216
298581.1623246493,-0.787072
298582.1643286573,-0.695552
298583.1663326653,-0.750464
298584.1683366733,-0.750464
298585.1703406814,-0.9152
298586.1723446894,-0.9152
298587.1743486974,-0.9152
298588.1763527054,-0.64064
298589.1783567134,-0.64064
298590.1803607214,-0.713856
298591.1823647295,-0.695552
298592.1843687374,-0.82368
298593.1863727455,-0.54912
298594.1883767535,-0.73216
298595.1903807615,-0.73216
298596.1923847696,-0.73216
298597.1943887775,-0.787072
298598.1963927856,-0.860288
298599.1983967936,-0.860288
298600.2004008016,-0.73216
298601.2024048096,-0.82368
298602.2044088176,-0.841984
298603.2064128257,-0.841984
298604.2084168337,-0.787072
298605.2104208417,-0.82368
298606.2124248497,-0.768768
298607.2144288577,-0.768768
298608.2164328657,-0.768768
298609.2184368738,-0.82368
298610.2204408818,-0.82368
298611.2224448898,-0.860288
298612.2244488978,-0.73216
298613.2264529058,-1.043328
298614.2284569138,-0.677248
298615.2304609218,-0.677248
298616.2324649299,-0.787072
298617.2344689379,-0.82368
298618.2364729459,-0.805376
298619.2384769539,-0.695552
298620.2404809619,-0.787072
298621.24248497,-0.787072
298622.2444889779,-0.585728
298623.246492986,-0.585728
298624.248496994,-0.585728
298625.250501002,-0.585728
298626.25250501,-0.585728
298627.2545090180,-0.73216
298628.2565130261,-0.64064
298629.2585170341,-0.585728
298630.2605210421,-0.677248
298631.2625250501,-0.73216
298632.2645290581,-0.494208
298633.2665330661,-0.512512
298634.2685370742,-0.292864
298635.2705410821,-0.384384
298636.2725450902,-0.585728
298637.2745490982,-0.677248
298638.2765531062,-0.677248
298639.2785571142,-0.677248
298640.2805611222,-0.896896
298641.2825651303,-0.567424
298642.2845691383,-0.18304
298643.2865731463,-0.402688
298644.2885771543,-0.475904
298645.2905811623,-0.512512
298646.2925851704,-0.512512
298647.2945891783,-0.512512
298648.2965931864,-0.4576
298649.2985971944,-0.4576
298650.3006012024,-0.604032
298651.3026052104,-0.622336
298652.3046092184,-0.677248
298653.3066132265,-0.4576
298654.3086172345,-0.4576
298655.3106212425,-0.73216
298656.3126252505,-0.292864
298657.3146292585,-0.292864
298658.3166332665,-0.292864
298659.3186372746,-0.292864
298660.3206412825,-0.292864
298661.3226452906,-0.292864
298662.3246492986,-0.292864
298663.3266533066,-0.567424
298664.3286573146,-0.567424
298665.3306613226,-0.4576
298666.3326653307,-0.4576
298667.3346693387,-0.64064
298668.3366733467,-0.64064
298669.3386773547,-0.64064
298670.3406813627,-0.64064
298671.3426853708,-0.64064
298672.3446893787,-0.64064
298673.3466933868,-0.64064
298674.3486973948,-0.4576
298675.3507014028,-0.420992
298676.3527054108,-0.512512
298677.3547094188,-0.4576
298678.3567134269,-0.713856
298679.3587174349,-1.317888
298680.3607214429,-1.317888
298681.3627254509,-1.317888
298682.3647294589,-0.64064
298683.3667334669,-0.64064
298684.368737475,-0.256256
298685.3707414829,-0.384384
298686.372745491,-0.384384
298687.374749499,-0.82368
298688.376753507,-1.061632
298689.3787575150,-1.061632
298690.3807615230,-1.061632
298691.3827655311,-0.73216
298692.3847695391,-0.64064
298693.3867735471,-0.4576
298694.3887775551,-0.4576
298695.3907815631,-0.237952
298696.3927855712,-0.347776
298697.3947895791,-0.512512
298698.3967935872,-0.677248
298699.3987975952,-0.677248
298700.4008016032,-0.878592
298701.4028056112,-1.061632
298702.4048096192,-0.73216
298703.4068136273,-1.025024
298704.4088176353,-1.116544
298705.4108216433,-1.18976
298706.4128256513,-1.116544
298707.4148296593,-1.079936
298708.4168336673,-1.079936
298709.4188376754,-1.079936
298710.4208416833,-1.079936
298711.4228456914,-1.3728
298712.4248496994,-0.713856
298713.4268537074,-0.9152
298714.4288577155,-0.9152
298715.4308617234,-0.9152
298716.4328657315,-0.9152
298717.4348697395,-0.695552
298718.4368737475,-0.494208
298719.4388777555,-0.82368
298720.4408817635,-0.82368
298721.4428857716,-0.54912
298722.4448897796,-0.622336
298723.4468937876,-0.622336
298724.4488977956,-0.82368
298725.4509018036,-0.567424
298726.4529058116,-0.54912
298727.4549098196,-0.4576
298728.4569138276,-0.4576
298729.4589178357,-0.4576
298730.4609218437,-0.512512
298731.4629258517,-0.567424
298732.4649298597,-0.329472
