x0000,y0000
253500.,-12.044032
253501.002004008,-11.915904
253502.0040080160,-12.025728
253503.0060120240,-12.062336
253504.0080160321,-12.062336
253505.0100200401,-12.062336
253506.0120240481,-12.062336
253507.0140280561,-12.062336
253508.0160320641,-12.153856
253509.0180360721,-12.007424
253510.0200400802,-12.007424
253511.0220440882,-12.007424
253512.0240480962,-11.98912
253513.0260521042,-12.062336
253514.0280561122,-12.208768
253515.0300601202,-12.208768
253516.0320641283,-12.062336
253517.0340681363,-12.190464
253518.0360721443,-12.190464
253519.0380761523,-12.190464
253520.0400801603,-12.08064
253521.0420841683,-11.98912
253522.0440881764,-11.879296
253523.0460921844,-12.08064
253524.0480961924,-12.08064
253525.0501002004,-12.08064
253526.0521042084,-12.025728
253527.0541082164,-11.952512
253528.0561122244,-11.8976
253529.0581162325,-11.8976
253530.0601202405,-12.208768
253531.0621242485,-12.208768
253532.0641282565,-12.044032
253533.0661322645,-12.17216
253534.0681362725,-12.17216
253535.0701402806,-12.117248
253536.0721442886,-12.062336
253537.0741482966,-12.135552
253538.0761523046,-12.135552
253539.0781563126,-11.879296
253540.0801603206,-12.135552
253541.0821643287,-12.098944
253542.0841683367,-12.098944
253543.0861723447,-12.3552
253544.0881763527,-11.732864
253545.0901803607,-11.732864
253546.0921843687,-11.952512
253547.0941883768,-11.952512
253548.0961923848,-12.135552
253549.0981963928,-12.007424
253550.1002004008,-11.915904
253551.1022044088,-12.007424
253552.1042084168,-12.153856
253553.1062124248,-12.025728
253554.1082164329,-12.007424
253555.1102204409,-11.970816
253556.1122244489,-11.952512
253557.1142284569,-12.007424
253558.1162324649,-11.824384
253559.1182364729,-11.98912
253560.120240481,-11.915904
253561.122244489,-12.208768
253562.124248497,-12.044032
253563.126252505,-12.098944
253564.1282565130,-11.952512
253565.1302605211,-11.952512
253566.1322645291,-11.98912
253567.1342685371,-11.879296
253568.1362725451,-12.17216
253569.1382765531,-12.044032
253570.1402805611,-12.044032
253571.1422845691,-12.08064
253572.1442885772,-12.08064
253573.1462925852,-12.08064
253574.1482965932,-12.17216
253575.1503006012,-12.044032
253576.1523046092,-12.007424
253577.1543086172,-11.8976
253578.1563126252,-11.952512
253579.1583166333,-12.08064
253580.1603206413,-12.08064
253581.1623246493,-11.934208
253582.1643286573,-12.117248
253583.1663326653,-12.117248
253584.1683366733,-12.117248
253585.1703406814,-12.117248
253586.1723446894,-12.007424
253587.1743486974,-11.952512
253588.1763527054,-11.952512
253589.1783567134,-11.952512
253590.1803607215,-11.879296
253591.1823647295,-11.915904
253592.1843687375,-11.915904
253593.1863727455,-11.934208
253594.1883767535,-12.007424
253595.1903807615,-12.17216
253596.1923847695,-11.8976
253597.1943887775,-11.98912
253598.1963927856,-12.17216
253599.1983967936,-12.300288
